code;number;edition;character;series;quality;obtainedDate;obtainedTimestamp;burnValue;dye.code;dye.name;frame;morphed;trimmed;tag;alias;wishlists;fights;dropQuality;dropper;grabber;guild;worker.effort;worker.style;worker.purity;worker.grabber;worker.dropper;worker.quickness;worker.toughness;worker.vanity;worker.recoveryDate;worker.recoveryTimestamp
vvt0jh0;7373;4;Berkut;Fire Emblem Echoes: Shadows of Valentia;2;Mon, 01 May 2023 05:37:28 GMT;1,68292E+12;38;;;;No;No;;;6;0;2;7,32966E+17;7,32966E+17;7,17031E+17;23;F;S;S;S;A;F;D;;
vvtvs89;52217;1;Delta Akane;Beyblade: Burst Gachi;2;Mon, 01 May 2023 03:54:04 GMT;1,68291E+12;5;;;;No;No;;;1;0;2;7,32966E+17;7,32966E+17;7,17031E+17;1;F;S;S;S;B;F;D;;
vvtvpmq;52690;1;Yasha-ichi;Hozuki's Coolheadedness;2;Mon, 01 May 2023 02:45:43 GMT;1,68291E+12;4;;;;No;No;;;1;0;2;7,32966E+17;7,32966E+17;7,17031E+17;1;F;S;S;S;F;F;D;;
vvtm3m9;52196;1;Kise Yukawa;Girl Friend BETA;3;Mon, 01 May 2023 02:26:26 GMT;1,68291E+12;10;;;;No;No;;;0;0;3;7,32966E+17;7,32966E+17;7,17031E+17;5;F;S;S;S;B;F;D;;
vvtm3mg;51967;1;Haruka Narumi;Battle Girl High School;2;Mon, 01 May 2023 02:26:20 GMT;1,68291E+12;8;;;;No;No;;;0;0;2;7,32966E+17;7,32966E+17;7,17031E+17;4;F;S;S;S;A;F;D;;
vvtmmgd;51996;1;Yumi Fujita;Wonder Momo;3;Mon, 01 May 2023 01:19:14 GMT;1,6829E+12;3;;;;No;No;;;0;0;3;7,32966E+17;7,32966E+17;7,17031E+17;1;F;S;S;S;C;F;D;;
vv8cj2x;10418;3;Dodoco;Genshin Impact;2;Mon, 01 May 2023 00:58:43 GMT;1,6829E+12;72;;;;No;No;cute;;40;0;1;7,32966E+17;7,32966E+17;7,17031E+17;38;F;A;S;S;A;F;D;;
vv8f892;52164;1;Shouta Kyan;After the Rain;1;Sun, 30 Apr 2023 16:55:43 GMT;1,68287E+12;2;;;;No;No;;;1;0;1;7,32966E+17;7,32966E+17;7,17031E+17;1;F;S;S;S;B;F;D;;
vv895wt;1352;4;Yomogi Emarl;The Rising of the Shield Hero 2nd Season;2;Sun, 30 Apr 2023 16:32:31 GMT;1,68287E+12;51;;;;No;No;shield;;3;0;2;7,32966E+17;7,32966E+17;7,17031E+17;28;F;S;S;S;A;F;D;;
00bt45;3748;1;Shouko Nishimiya;A Silent Voice;4;Sun, 30 Apr 2023 16:30:40 GMT;1,68287E+12;312;$v915b;Purple Hepatica;blossom;Yes;No;silent;;910;0;0;7,24259E+17;7,24259E+17;7,50345E+17;243;B;F;F;F;A;F;A;Sun, 28 May 2023 12:16:45 GMT;1,68528E+12
55664k;7140;1;Maki Zenin;Jujutsu Kaisen;4;Sun, 30 Apr 2023 16:30:31 GMT;1,68287E+12;310;;;;No;No;jjk;;1203;2;4;7,32966E+17;7,32966E+17;7,04015E+17;201;F;S;S;S;A;C;C;Mon, 15 May 2023 12:16:45 GMT;1,68415E+12
vv8fdm5;16353;2;Alexis Leskinen;Steins;;;;;;;;;;;;;;;;;;;;;;;;;;;
vv8gdcm;52562;1;Tapio's Older Sister;Working Buddies! No 2!;1;Sun, 30 Apr 2023 14:17:40 GMT;1,68286E+12;2;;;;No;No;;;0;0;1;8,24605E+17;7,32966E+17;6,48032E+17;1;F;S;S;F;S;F;D;;
vv8g6gz;35612;1;Yoon Ki-Joong;Solo Leveling;3;Sun, 30 Apr 2023 14:17:29 GMT;1,68286E+12;25;;;;No;No;;;1;0;3;7,32966E+17;7,32966E+17;6,48032E+17;14;F;S;S;S;A;F;D;;
