"code","number","edition","character","series","quality","obtainedDate","obtainedTimestamp","burnValue","dye.code","dye.name","frame","morphed","trimmed","tag","alias","wishlists","fights","dropQuality","dropper","grabber","guild","worker.effort","worker.style","worker.purity","worker.grabber","worker.dropper","worker.quickness","worker.toughness","worker.vanity","worker.recoveryDate","worker.recoveryTimestamp"
"vqzrhtq","45694","1","Shun's Mother","Umibe no Étranger","0","Sun, 16 Jul 2023 03:57:33 GMT","1689479853485","1","","","","No","No","","","1","0","0","732966109916954677","732966109916954677","717030509405929503","0","F","S","S","S","A","F","D","",""
"vqzrjjx","54944","1","Alice Himemiya","Tsuredure Children","2","Sun, 16 Jul 2023 03:11:15 GMT","1689477075565","7","","","","No","No","","","1","0","2","732966109916954677","732966109916954677","717030509405929503","4","F","S","S","S","B","F","D","",""
"vqz4kc8","54587","1","Date Masamune","Ikemen Sengoku: Toki wo Kakeru Koi","0","Sun, 16 Jul 2023 02:26:38 GMT","1689474398552","1","","","","No","No","","","3","0","0","732966109916954677","732966109916954677","717030509405929503","0","F","S","S","S","A","F","D","",""
"2749th","8341","1","Chekera","KonoSuba: God's blessing on this wonderful world! Legend of Crimson","0","Sat, 15 Jul 2023 18:10:35 GMT","1689444635235","1","","","","No","No","","","0","0","0","341480905606430720","341480905606430720","717030509405929503","0","F","S","F","F","B","F","A","",""
"vqqt046","2292","5","Bishamonten","Noragami","1","Sat, 15 Jul 2023 18:10:35 GMT","1689444635235","35","","","","No","No","","","85","0","1","341480905606430720","341480905606430720","717030509405929503","18","F","S","F","F","S","F","D","",""
"2kf5jz","1449","2","Dodonko","KonoSuba: God's blessing on this wonderful world! Legend of Crimson","1","Sat, 15 Jul 2023 18:10:35 GMT","1689444635235","13","","","","No","No","","","1","3","1","569392559676456961","341480905606430720","632548882231984129","8","F","S","F","F","A","B","A","",""
"v04xlgs","22605","1","Elsa Granhiert","Re:ZERO -Starting Life in Another World-","3","Sat, 15 Jul 2023 18:10:35 GMT","1689444635235","66","","","","No","No","","","22","0","3","341480905606430720","341480905606430720","717030509405929503","33","F","S","F","F","A","F","D","",""
"vqm83jb","15513","1","Yui Yuigahama","My Teen Romantic Comedy SNAFU","4","Sat, 15 Jul 2023 18:10:35 GMT","1689444635235","235","","","","No","No","","","271","0","4","","341480905606430720","717030509405929503","101","F","S","F","F","D","F","D","",""
"v0g9fkv","15744","1","Fortuna","Re:ZERO -Starting Life in Another World- Season 2","2","Sat, 15 Jul 2023 18:10:35 GMT","1689444635235","33","","","","No","No","","","5","0","2","","341480905606430720","717030509405929503","16","F","S","F","F","S","F","D","",""
"2mht01","8642","1","Sedol","KonoSuba: God's blessing on this wonderful world!","2","Sat, 15 Jul 2023 18:10:35 GMT","1689444635235","2","","","","No","No","","","0","0","2","341480905606430720","341480905606430720","717030509405929503","1","F","S","F","F","F","F","A","",""
